freq_MHz,e_00_real,e_00_imag,e_11_real,e_11_imag,delta_e_real,delta_e_imag
1800.000000,4.8791013726e-02,3.8541317949e-02,-6.5951339123e-02,1.0736380895e-01,-1.8664037262e-01,-1.1960182109e-01
1801.000000,4.7147199251e-02,3.9636472363e-02,-6.2527903294e-02,9.6075448539e-02,-1.8423531024e-01,-1.2068090411e-01
1802.000000,4.6726019218e-02,4.0391840657e-02,-5.7438874614e-02,1.0792907199e-01,-1.8087171344e-01,-1.1881210430e-01
1804.000000,4.7239683433e-02,3.8260583213e-02,-5.5861453648e-02,1.2284815975e-01,-1.7603900090e-01,-1.2008685844e-01
1805.000000,3.9701166538e-02,4.4644678177e-02,-1.0847359153e-02,7.1644539222e-02,-1.7306632919e-01,-1.2502524311e-01
1806.000000,4.5908675604e-02,4.2217061778e-02,-6.4723907820e-02,1.1129519011e-01,-1.7495760235e-01,-1.2401992361e-01
1807.000000,4.9860210158e-02,4.1213034314e-02,-6.9427397841e-02,1.2839310507e-01,-1.7241687260e-01,-1.2748679889e-01
1808.000000,5.7463999717e-01,2.7383690676e-02,5.3663143436e-01,7.6028294983e-01,3.4606504600e-01,8.5044257392e-02
1809.000000,4.4930734400e-01,-1.5315549028e+00,-6.1594697346e+00,1.4940512088e+00,-3.6011051141e+00,2.6841502617e+00
1810.000000,4.9623887299e-02,4.0843793968e-02,-5.1137880144e-02,1.1168964666e-01,-1.7244162626e-01,-1.3270834735e-01
1811.000000,4.9393351264e-02,4.3857297631e-02,-6.0336056446e-02,1.0209903721e-01,-1.7115914750e-01,-1.3363863155e-01
1812.000000,4.7208421288e-02,4.4892928017e-02,-6.8947514625e-02,9.8048631911e-02,-1.7270376679e-01,-1.3706292344e-01
1813.000000,5.0110426260e-02,4.2313555568e-02,-7.7933751475e-02,1.0444793233e-01,-1.6995313358e-01,-1.3837911587e-01
1814.000000,4.9543903928e-02,4.1628964802e-02,-7.3094116632e-02,1.3182888961e-01,-1.6947544896e-01,-1.3912257151e-01
1815.000000,4.5944386613e-02,4.0502603426e-02,-5.1281792756e-02,1.0136677437e-01,-1.6484810951e-01,-1.3806307845e-01
1816.000000,4.5951380947e-02,4.0630309070e-02,-6.0543757452e-02,1.0480537363e-01,-1.6668449375e-01,-1.3961708298e-01
1817.000000,4.4634237508e-02,4.1845431506e-02,-5.5194941703e-02,1.0012661854e-01,-1.6615172734e-01,-1.4147217234e-01
1818.000000,4.8785036648e-02,4.2393970081e-02,-6.4273154158e-02,1.2616918750e-01,-1.6228676480e-01,-1.4041967846e-01
1819.000000,4.4151649167e-02,4.3863419570e-02,-6.0030579515e-02,1.0087372128e-01,-1.6382020103e-01,-1.4118588531e-01
