freq_MHz,e_00_real,e_00_imag,e_11_real,e_11_imag,delta_e_real,delta_e_imag
1705.000000,nan,nan,nan,nan,nan,nan
1710.000000,5.1336901127e-02,1.7357215753e-04,-4.0135619704e-02,1.2329503196e-01,-2.0877288406e-01,1.9929672101e-02
1715.000000,nan,nan,nan,nan,nan,nan
1720.000000,nan,nan,nan,nan,nan,nan
1725.000000,3.2375063199e-02,-5.3593773831e-02,5.5218838110e-02,3.8693898416e-01,-2.1617369233e-01,1.0926682991e-02
1740.000000,4.9937819468e-02,1.0034260886e-02,-2.5421194118e-02,8.6609651516e-02,-2.1418136634e-01,-2.6109529977e-02
1745.000000,nan,nan,nan,nan,nan,nan
1750.000000,5.0591197398e-02,6.5833587488e-03,-4.7524663389e-02,1.2904236097e-01,-2.0834335128e-01,-4.0893863465e-02
1755.000000,nan,nan,nan,nan,nan,nan
1760.000000,4.9141949244e-02,1.0910170970e-02,-4.9161384850e-02,1.0777591273e-01,-2.0371960231e-01,-5.5785436984e-02
1765.000000,4.6840719535e-02,1.1127440737e-02,-6.9636361966e-02,1.5818878765e-01,-1.9054447629e-01,-6.6252509393e-02
1770.000000,nan,nan,nan,nan,nan,nan
1775.000000,4.8297008698e-02,1.6228913507e-02,-5.0510144368e-02,5.2661439856e-02,-2.0466243553e-01,-7.8992187856e-02
1780.000000,4.6284431791e-02,1.6826678780e-02,-3.4136394315e-02,1.1653422562e-01,-1.9713462586e-01,-9.2830668021e-02
1785.000000,4.6125807925e-02,1.4396984711e-02,-4.7561291506e-02,1.1701289289e-01,-1.9023445008e-01,-9.5767030936e-02
1790.000000,4.5398998569e-02,1.5142665176e-02,-4.5056870184e-02,1.1276314476e-01,-1.8681753833e-01,-1.0077992732e-01
1795.000000,4.4871769563e-02,1.6055524510e-02,-5.4531132970e-02,1.2328328669e-01,-1.8184275201e-01,-1.0914301453e-01
1800.000000,4.4890496255e-02,1.9309156930e-02,-4.4482624465e-02,1.1503697258e-01,-1.7764235114e-01,-1.2718136679e-01
1805.000000,nan,nan,nan,nan,nan,nan
1810.000000,nan,nan,nan,nan,nan,nan
1815.000000,nan,nan,nan,nan,nan,nan
1820.000000,4.3034128522e-02,1.6167381489e-02,-6.5076725716e-02,1.2145610308e-01,-1.6612493519e-01,-1.3358281021e-01
1825.000000,4.2536072720e-02,1.6009393623e-02,-5.8216466911e-02,1.1705544823e-01,-1.6132968914e-01,-1.3503385802e-01
1830.000000,nan,nan,nan,nan,nan,nan
1835.000000,4.1102902691e-02,2.1789771497e-02,8.9909370138e-03,1.9448747504e-01,-1.4430576276e-01,-1.7110989196e-01
1840.000000,4.0982486101e-02,1.9031915339e-02,-2.6626300854e-02,1.4988757481e-01,-1.4375006680e-01,-1.5999545089e-01
1845.000000,3.9778978864e-02,1.8914835683e-02,-6.9555695445e-02,1.2586870275e-01,-1.3626521465e-01,-1.5802200116e-01
1850.000000,3.8588554104e-02,1.9826853137e-02,-9.2153592619e-02,1.1360805795e-01,-1.2841374198e-01,-1.6363512451e-01
1855.000000,nan,nan,nan,nan,nan,nan
1860.000000,3.8119059993e-02,2.2547531031e-02,-7.0828279123e-02,1.2553832528e-01,-1.1870537146e-01,-1.8137304572e-01
1865.000000,3.6576400217e-02,2.1789705531e-02,-7.1015201498e-02,8.5761542149e-02,-1.1316866719e-01,-1.8398738083e-01
1870.000000,3.6109134125e-02,2.0190958916e-02,-7.3464229914e-02,1.3727135013e-01,-1.0419268473e-01,-1.7828824026e-01
1875.000000,3.4457715472e-02,2.2947721578e-02,-9.5255901553e-02,1.0484672397e-01,-1.0414322403e-01,-1.8654446996e-01
1880.000000,nan,nan,nan,nan,nan,nan
1885.000000,3.5219415587e-02,2.6625618088e-02,-5.2996375824e-02,7.2495421207e-02,-1.0085255665e-01,-2.0851816774e-01
1890.000000,3.3473284960e-02,2.7658058693e-02,-9.7950014891e-02,1.2404801211e-01,-8.4751843012e-02,-2.0422217587e-01
1895.000000,3.2667215183e-02,2.5274077838e-02,-9.3793407295e-02,1.1940903039e-01,-7.1728603752e-02,-2.0172840147e-01
1900.000000,3.1118779581e-02,2.4229461705e-02,-1.0227296518e-01,1.0085584211e-01,-7.3025034553e-02,-1.9993705926e-01
1905.000000,nan,nan,nan,nan,nan,nan
1915.000000,nan,nan,nan,nan,nan,nan
1920.000000,2.8298319531e-02,2.6384695380e-02,-1.0749909904e-01,9.9982475100e-02,-4.3769260810e-02,-2.1433791504e-01
1925.000000,2.8565298942e-02,2.4632960678e-02,-9.1820621967e-02,1.1418760321e-01,-3.4057750862e-02,-2.1244229511e-01
1930.000000,2.8744137420e-02,2.2446546955e-02,-1.2270771615e-01,1.3744990205e-01,-2.1711731738e-02,-2.2026301497e-01
1935.000000,nan,nan,nan,nan,nan,nan
1940.000000,2.6877650488e-02,1.9625888378e-02,-1.5125101711e-01,1.3768784805e-01,-1.5774013720e-02,-1.7613400433e-01
1945.000000,2.5490792195e-02,2.4126427177e-02,-1.2462889020e-01,1.1447749793e-01,-6.2008541631e-03,-2.0875021347e-01
1950.000000,2.3922483536e-02,2.4329579852e-02,-1.2343786796e-01,1.1558513970e-01,6.3134158063e-03,-2.1110893824e-01
1955.000000,2.2741092814e-02,2.5358261421e-02,-1.0054162703e-01,9.1763858570e-02,1.9125073499e-02,-2.1816933569e-01
1960.000000,nan,nan,nan,nan,nan,nan
1965.000000,nan,nan,nan,nan,nan,nan
1970.000000,2.3231394757e-02,2.2578598922e-02,-2.0283527619e-01,2.6793282830e-01,5.3182269557e-02,-1.6928264874e-01
1975.000000,1.8420718670e-02,2.1243739242e-02,-1.2486535502e-01,1.1216342747e-01,5.4295176566e-02,-1.9885922819e-01
1980.000000,1.8231550297e-02,2.1181028522e-02,-1.2384272402e-01,1.1921308290e-01,6.8008139681e-02,-2.0490672918e-01
1985.000000,1.6570986370e-02,2.1071414074e-02,-1.4086341584e-01,1.3761093721e-01,7.8842012853e-02,-1.9501474434e-01
1990.000000,1.3239796271e-02,2.3720764974e-02,-9.2346961567e-02,1.2885347924e-01,9.8038712251e-02,-2.2070429062e-01
1995.000000,nan,nan,nan,nan,nan,nan
2000.000000,1.2948939232e-02,1.8038624922e-02,-1.2122205436e-01,1.1786761055e-01,9.8763788176e-02,-1.8561966811e-01
2005.000000,1.2779540404e-02,1.9234408961e-02,-1.3034122464e-01,1.2248645911e-01,1.0059801652e-01,-1.8179545101e-01
2010.000000,1.2297899973e-02,1.7859765633e-02,-1.1721030845e-01,9.7049415561e-02,1.0947748426e-01,-1.8035383768e-01
2015.000000,nan,nan,nan,nan,nan,nan
2020.000000,nan,nan,nan,nan,nan,nan
2025.000000,8.1000978105e-03,1.7402566605e-02,-4.0019632710e-02,2.0964392103e-01,1.7670147913e-01,-1.4761499709e-01
2030.000000,8.4481895833e-03,1.4878301772e-02,-1.3109525384e-01,1.2167731784e-01,1.3133776277e-01,-1.5648435356e-01
2035.000000,8.4327278508e-03,1.4575421530e-02,-1.2606523120e-01,1.2155183323e-01,1.3594708032e-01,-1.5386021473e-01
2040.000000,7.4411191780e-03,1.3806411304e-02,-1.3767019175e-01,1.2628626857e-01,1.3757831770e-01,-1.4732281676e-01
2045.000000,4.7154101112e-03,1.7622912172e-02,-1.7859123021e-01,4.9123288016e-02,1.4354222441e-01,-1.2868376355e-01
2050.000000,5.5048530505e-03,1.3752568304e-02,-1.3114905950e-01,1.2086979330e-01,1.6861023998e-01,-1.2051777847e-01
2055.000000,nan,nan,nan,nan,nan,nan
2060.000000,4.5042869219e-03,1.4065373744e-02,-1.4751958661e-01,9.3160758769e-02,1.6598359611e-01,-1.2276179938e-01
2065.000000,5.1946947587e-03,1.2723277677e-02,-1.4432065912e-01,1.0262590850e-01,1.6296189817e-01,-1.1665463860e-01
2070.000000,4.9027974513e-03,1.2304605638e-02,-1.4439282457e-01,1.1010812231e-01,1.6229067148e-01,-1.0947609553e-01
2075.000000,4.0274209159e-03,1.1906838543e-02,-1.3410456557e-01,1.1088898999e-01,1.7220845645e-01,-1.0547603689e-01
2080.000000,nan,nan,nan,nan,nan,nan
2085.000000,nan,nan,nan,nan,nan,nan
2090.000000,3.5004107089e-03,1.1007894376e-02,-1.6106394300e-01,8.3251763938e-02,1.9544556637e-01,-8.8372815395e-02
2095.000000,2.5243550951e-03,9.5598176277e-03,-1.6026750171e-01,9.4585061022e-02,1.8209390953e-01,-8.1028159906e-02
2100.000000,1.6557722178e-03,8.2807058287e-03,-1.7097027011e-01,9.4764211154e-02,1.8395721825e-01,-7.4052766162e-02
2105.000000,2.2966884383e-03,7.2876662871e-03,-1.6151612894e-01,1.0757075240e-01,1.8430223604e-01,-6.8632798452e-02
2110.000000,nan,nan,nan,nan,nan,nan
2115.000000,nan,nan,nan,nan,nan,nan
2120.000000,nan,nan,nan,nan,nan,nan
2125.000000,9.6454724391e-04,3.4755757192e-03,-1.9442017422e-01,9.7511961668e-02,1.9699456049e-01,-4.2081721126e-02
2130.000000,nan,nan,nan,nan,nan,nan
2135.000000,nan,nan,nan,nan,nan,nan
2140.000000,nan,nan,nan,nan,nan,nan
2145.000000,nan,nan,nan,nan,nan,nan
2155.000000,nan,nan,nan,nan,nan,nan
2160.000000,9.3218084209e-04,-4.8012871959e-03,-1.9573455813e-01,9.9411649255e-02,1.9409803152e-01,1.5189392130e-02
2165.000000,nan,nan,nan,nan,nan,nan
2170.000000,3.2200656809e-04,-6.2211838549e-03,-1.9098312341e-01,9.6070379644e-02,1.9302537109e-01,3.0375989328e-02
2175.000000,1.7105651674e-04,-7.7696715896e-03,-1.8364617362e-01,9.1733106531e-02,1.9197770495e-01,4.0482498602e-02
2180.000000,3.7493233553e-04,-8.9406558639e-03,-1.8663615029e-01,1.0921952030e-01,1.8879635146e-01,4.9468184883e-02
2185.000000,-4.6062011375e-03,-1.5845967519e-02,-1.9905617849e-01,1.0896621785e-01,1.8113709847e-01,6.9800007030e-02
2190.000000,nan,nan,nan,nan,nan,nan
2195.000000,1.1748293300e-03,-1.0851166197e-02,-1.9961618741e-01,8.5934773837e-02,1.8006763806e-01,6.9527381035e-02
2200.000000,nan,nan,nan,nan,nan,nan
2205.000000,nan,nan,nan,nan,nan,nan
2210.000000,nan,nan,nan,nan,nan,nan
2215.000000,3.8223529651e-03,-1.3503312365e-02,-2.1159688665e-01,6.9781939835e-02,1.6505009736e-01,8.5417530285e-02
2220.000000,3.6791434081e-03,-1.3667831213e-02,-2.0889335420e-01,7.4213678910e-02,1.6325509341e-01,9.2527964857e-02
2225.000000,nan,nan,nan,nan,nan,nan
