paso,freq_rf_MHz,freq_audio_ref_Hz,modulo_ref_dB,freq_audio_medido_Hz,modulo_medido_dB
1,1650.000,1000.0,26.82,1000.0,15.40
2,1650.100,1000.0,26.84,1000.0,15.42
3,1650.200,1000.0,26.78,1000.0,15.35
4,1650.300,1000.0,26.83,1000.0,15.39
5,1650.400,1000.0,26.81,1000.0,15.36
6,1650.500,1000.0,26.84,1000.0,15.44
7,1650.600,1000.0,26.85,1000.0,15.38
8,1650.700,1000.0,26.81,1000.0,15.34
9,1650.800,1000.0,26.83,1000.0,15.34
10,1650.900,996.6,-22.76,1013.4,-36.71
11,1651.000,1000.0,26.85,1000.0,15.42
12,1651.100,1000.0,26.81,1000.0,15.34
13,1651.200,1000.0,26.80,1000.0,15.35
14,1651.300,1000.0,26.81,1000.0,15.37
15,1651.400,1000.0,26.83,1000.0,15.33
16,1651.500,1000.0,26.84,1000.0,15.44
17,1651.600,1000.0,26.82,1000.0,15.33
18,1651.700,996.6,-15.36,996.6,-27.78
19,1651.800,1000.0,26.84,1000.0,15.34
20,1651.900,1000.0,26.88,1000.0,15.42
21,1652.000,1000.0,26.82,1000.0,15.36
22,1652.100,1000.0,26.88,1000.0,15.45
23,1652.200,1000.0,26.83,1000.0,15.39
24,1652.300,1000.0,26.90,1000.0,15.45
25,1652.400,1000.0,26.88,1000.0,15.42
26,1652.500,1000.0,26.79,1000.0,15.36
27,1652.600,1000.0,26.79,1000.0,15.37
28,1652.700,1000.0,26.78,1000.0,15.35
29,1652.800,1000.0,26.87,1000.0,15.40
30,1652.900,1003.3,-17.20,1003.3,-26.77
31,1653.000,1000.0,26.91,1000.0,15.37
32,1653.100,1000.0,26.82,1000.0,15.36
33,1653.200,1000.0,26.81,1000.0,15.39
34,1653.300,1000.0,26.85,1000.0,15.44
35,1653.400,1000.0,26.82,1000.0,15.30
36,1653.500,1000.0,26.97,1000.0,15.47
37,1653.600,1000.0,26.88,1000.0,15.33
38,1653.700,1003.3,-15.69,1003.3,-30.46
39,1653.800,1000.0,26.80,1000.0,15.36
40,1653.900,1000.0,26.83,1000.0,15.40
41,1654.000,1000.0,26.87,1000.0,15.36
42,1654.100,1000.0,26.85,1000.0,15.25
43,1654.200,1000.0,26.83,1000.0,15.28
44,1654.300,1000.0,26.91,1000.0,15.35
45,1654.400,1000.0,26.87,1000.0,15.35
46,1654.500,1000.0,26.87,1000.0,15.23
47,1654.600,1000.0,26.79,1000.0,15.30
48,1654.700,1000.0,26.91,1000.0,15.39
49,1654.800,1000.0,26.92,1000.0,15.36
50,1654.900,1003.3,-20.15,916.4,-30.89
51,1655.000,1000.0,26.71,1000.0,15.22
52,1655.100,1000.0,26.96,1000.0,15.41
53,1655.200,1000.0,26.80,1000.0,15.32
54,1655.300,1000.0,26.75,1000.0,15.28
55,1655.400,1000.0,26.71,1000.0,15.28
56,1655.500,1000.0,26.94,1000.0,15.28
57,1655.600,1000.0,26.65,1000.0,15.19
58,1655.700,929.8,-13.88,1000.0,-24.90
59,1655.800,1000.0,26.87,1000.0,15.28
60,1655.900,1000.0,26.76,1000.0,15.27
61,1656.000,1000.0,26.95,1000.0,15.25
62,1656.100,1000.0,26.82,1000.0,15.33
63,1656.200,1000.0,26.81,1000.0,15.33
64,1656.300,1000.0,26.94,1000.0,15.29
65,1656.400,1000.0,26.86,1000.0,15.39
66,1656.500,1000.0,26.90,1000.0,15.44
67,1656.600,1000.0,27.00,1000.0,15.40
68,1656.700,1000.0,26.89,1000.0,15.31
69,1656.800,1000.0,26.87,1000.0,15.24
70,1656.900,1000.0,-15.88,1066.9,-28.42
71,1657.000,1000.0,26.78,1000.0,15.33
72,1657.100,1000.0,26.69,1000.0,15.08
73,1657.200,1000.0,26.66,1000.0,15.18
74,1657.300,1000.0,26.76,1000.0,15.25
75,1657.400,1000.0,26.82,1000.0,15.09
76,1657.500,1000.0,26.77,1000.0,15.12
77,1657.600,1000.0,26.66,1000.0,15.21
78,1657.700,929.8,-11.77,929.8,-22.94
79,1657.800,1000.0,26.77,1000.0,14.99
80,1657.900,1000.0,26.91,1000.0,15.28
81,1658.000,1000.0,26.91,1000.0,15.10
82,1658.100,1000.0,26.85,1000.0,15.35
83,1658.200,1000.0,26.87,1000.0,14.99
84,1658.300,1000.0,26.81,1000.0,15.30
85,1658.400,1000.0,26.84,1000.0,15.38
86,1658.500,1000.0,26.54,1000.0,15.08
87,1658.600,1000.0,26.57,1000.0,15.13
88,1658.700,1000.0,26.73,1000.0,15.04
89,1658.800,1000.0,27.05,1000.0,15.35
90,1658.900,1063.5,-7.50,1000.0,-20.30
91,1659.000,1000.0,26.69,1000.0,14.98
92,1659.100,1000.0,26.59,1000.0,15.03
93,1659.200,1000.0,26.74,1000.0,14.60
94,1659.300,1000.0,26.26,1000.0,14.81
95,1659.400,1000.0,26.93,1000.0,15.30
96,1659.500,1000.0,26.48,1000.0,14.96
97,1659.600,1000.0,26.18,1000.0,13.93
98,1659.700,1046.8,-2.45,1046.8,-13.86
99,1659.800,1000.0,26.20,1000.0,14.78
100,1659.900,1000.0,26.90,1000.0,15.09
101,1660.000,1000.0,26.83,1000.0,14.40
102,1660.100,1000.0,26.33,1000.0,14.05
103,1660.200,1000.0,25.82,1000.0,13.29
104,1660.300,996.6,24.99,996.6,13.37
105,1660.400,1000.0,26.45,1000.0,13.78
106,1660.500,1000.0,26.27,1000.0,13.63
107,1660.600,1000.0,26.82,1000.0,14.55
108,1660.700,1000.0,26.04,1000.0,14.53
109,1660.800,1000.0,24.11,1000.0,12.34
110,1660.900,943.1,-0.81,1063.5,-11.62
111,1661.000,1000.0,24.41,1000.0,13.58
112,1661.100,996.6,24.26,996.6,12.23
113,1661.200,1000.0,23.66,1000.0,10.85
114,1661.300,1000.0,25.35,1000.0,12.62
115,1661.400,1000.0,22.15,1000.0,11.75
116,1661.500,1003.3,25.29,1003.3,12.78
117,1661.600,1000.0,23.49,1000.0,9.87
118,1661.700,929.8,8.26,929.8,-3.28
119,1661.800,996.6,15.04,1000.0,5.44
120,1661.900,1003.3,14.99,1003.3,4.86
121,1662.000,1000.0,-37.64,1000.0,-34.66
122,1662.100,936.4,-41.12,1003.3,-39.26
123,1662.200,1003.3,-35.60,1003.3,-33.63
124,1662.300,996.6,-37.84,1003.3,-34.87
125,1662.400,1000.0,-38.24,1000.0,-34.62
126,1662.500,1003.3,-38.46,1000.0,-36.25
127,1662.600,1003.3,-34.55,1003.3,-31.49
128,1662.700,1000.0,-34.16,1000.0,-31.04
129,1662.800,1003.3,-37.50,1003.3,-38.34
130,1662.900,1000.0,-35.54,1000.0,-32.75
131,1663.000,1000.0,-33.92,1000.0,-32.37
132,1663.100,1003.3,-33.28,1003.3,-31.46
133,1663.200,996.6,-38.29,996.6,-35.02
134,1663.300,1000.0,-36.09,1003.3,-33.86
135,1663.400,1003.3,-35.62,1003.3,-34.15
136,1663.500,1003.3,-34.05,1000.0,-32.15
137,1663.600,953.2,-39.79,953.2,-38.01
138,1663.700,1003.3,-37.67,1003.3,-36.68
139,1663.800,996.6,-36.37,996.6,-35.35
140,1663.900,1000.0,-34.26,1000.0,-31.20
141,1664.000,1003.3,-37.42,1003.3,-35.03
142,1664.100,996.6,-38.68,1003.3,-35.99
143,1664.200,996.6,-38.87,1003.3,-37.16
144,1664.300,1003.3,-36.60,1003.3,-34.33
145,1664.400,1000.0,-37.75,1003.3,-33.87
146,1664.500,1003.3,-37.80,1003.3,-35.99
147,1664.600,1003.3,-36.66,1003.3,-33.88
148,1664.700,1003.3,-34.54,1003.3,-32.72
149,1664.800,1000.0,-35.71,1000.0,-34.20
150,1664.900,1000.0,-38.03,1000.0,-35.81
151,1665.000,1000.0,-34.93,1003.3,-32.13
152,1665.100,973.2,-33.17,973.2,-32.46
153,1665.200,946.5,-4.75,946.5,-15.03
154,1665.300,1050.2,0.91,1050.2,-10.09
155,1665.400,926.4,2.35,926.4,-7.78
156,1665.500,1000.0,8.14,1000.0,-1.36
157,1665.600,990.0,16.96,990.0,4.16
158,1665.700,1026.7,8.64,1026.7,-2.88
159,1665.800,1000.0,19.62,1000.0,8.92
160,1665.900,996.6,-27.44,1000.0,-37.85
161,1666.000,996.6,-24.45,996.6,-33.09
162,1666.100,1000.0,-24.59,996.6,-31.55
163,1666.200,1000.0,-27.41,1006.7,-40.90
164,1666.300,1003.3,-38.92,1003.3,-35.92
165,1666.400,1000.0,-37.35,1000.0,-34.07
166,1666.500,1003.3,-38.12,1003.3,-36.47
167,1666.600,996.6,-38.25,1003.3,-36.01
168,1666.700,1003.3,-36.75,1003.3,-34.73
169,1666.800,1003.3,-39.21,1000.0,-35.04
170,1666.900,1003.3,-37.46,1000.0,-33.60
171,1667.000,996.6,-37.67,996.6,-34.91
172,1667.100,1053.5,-43.31,909.7,-41.18
173,1667.200,996.6,-39.22,996.6,-35.41
174,1667.300,996.6,-38.38,996.6,-33.63
175,1667.400,1006.7,-39.66,1006.7,-37.56
176,1667.500,1003.3,-43.16,1003.3,-38.35
177,1667.600,1000.0,-35.15,1000.0,-31.77
178,1667.700,1000.0,-36.45,1000.0,-33.18
179,1667.800,1003.3,-37.60,1003.3,-35.76
180,1667.900,1066.9,-42.32,933.1,-39.11
181,1668.000,1003.3,-36.14,1003.3,-32.09
182,1668.100,1003.3,-37.92,1003.3,-34.21
183,1668.200,1000.0,-36.36,1000.0,-33.42
184,1668.300,996.6,-40.85,996.6,-38.78
185,1668.400,996.6,-37.29,996.6,-34.91
186,1668.500,956.5,-39.62,956.5,-39.45
187,1668.600,1003.3,-37.56,1003.3,-33.84
188,1668.700,1000.0,-38.73,1003.3,-37.21
189,1668.800,1000.0,-41.66,1000.0,-38.83
190,1668.900,996.6,-39.25,996.6,-36.70
191,1669.000,1003.3,-41.00,1003.3,-37.55
192,1669.100,1000.0,-38.55,1000.0,-36.41
193,1669.200,1003.3,-41.50,1050.2,-40.34
194,1669.300,943.1,-40.61,959.9,-38.20
195,1669.400,953.2,-39.70,1003.3,-35.75
196,1669.500,1000.0,-34.92,1000.0,-36.74
197,1669.600,1000.0,-35.51,1003.3,-38.25
198,1669.700,936.4,9.61,936.4,-3.72
199,1669.800,996.6,19.78,996.6,5.82
200,1669.900,1000.0,18.11,1000.0,4.42
201,1670.000,1003.3,22.01,1003.3,8.24
